,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,salary,age_log,fnlwgt_log,capital_loss_log,hours_per_week_bins,native_country
0,3,0,12.0,1,0,5,1,0,0,1,3.8918202981106265,11.526039104115611,7.551186867296149,2,1
1,3,4,14.0,0,3,1,1,1,10520,1,3.784189633918261,12.37474311544625,0.0,3,1
2,3,3,10.0,0,0,4,0,0,0,0,3.6375861597263857,11.47402869934028,0.0,2,1
3,4,6,15.0,1,8,0,2,1,0,1,3.6375861597263857,11.633788197931311,0.0,2,1
4,5,7,10.0,1,7,5,0,0,0,0,3.7376696182833684,11.31808993399591,0.0,3,1
5,3,3,9.0,2,5,3,1,1,0,0,2.995732273553991,11.054217795466345,0.0,0,1
6,3,5,10.0,0,0,2,1,1,0,0,3.8918202981106265,10.701760221137073,0.0,2,1
7,3,7,7.0,1,0,0,1,1,0,0,3.6109179126442243,11.841797464246872,0.0,2,1
8,3,3,9.0,1,2,0,1,1,0,1,3.828641396489095,12.701427207211578,0.0,2,1
9,4,3,10.0,1,0,0,1,1,99999,1,3.58351893845611,12.286319947657452,0.0,3,2
11,3,7,10.0,2,1,3,1,0,0,0,2.8903717578961645,12.284347637869029,0.0,1,1
12,3,1,10.0,1,0,5,1,0,0,0,3.4011973816621555,11.93156342878864,0.0,2,1
13,3,2,10.0,1,0,0,1,1,0,1,3.4011973816621555,10.920365425621666,0.0,2,1
14,3,1,10.0,1,10,0,1,1,0,0,3.7612001156935624,11.346410325958852,0.0,3,1
15,3,3,9.0,3,0,4,1,1,0,0,3.9318256327243257,12.557887297361319,0.0,2,1
16,3,7,10.0,1,6,0,1,1,0,1,3.6375861597263857,12.044576721995082,0.0,2,1
17,3,4,14.0,2,0,1,1,1,0,0,3.5553480614894135,12.4733976620186,0.0,4,1
18,6,4,14.0,0,0,1,1,1,0,0,4.02535169073515,12.521288412824564,7.420578905410801,2,1
19,3,2,10.0,1,8,0,1,1,0,1,3.8066624897703196,12.498619117582981,0.0,3,1
20,3,5,10.0,1,0,5,0,0,0,0,3.6888794541139363,12.149195368638118,0.0,2,2
22,3,7,10.0,0,10,1,1,1,0,0,3.828641396489095,11.675086830549644,0.0,2,1
24,3,3,9.0,1,2,0,1,1,0,1,3.8918202981106265,12.418333191185257,0.0,3,1
25,4,4,14.0,1,3,0,1,1,0,0,4.007333185232471,12.313199100998029,0.0,4,1
26,5,5,10.0,0,0,4,1,0,0,0,3.8501476017100584,12.27253899471255,0.0,3,1
27,4,5,10.0,1,0,0,1,1,0,0,3.713572066704308,11.925624346140273,0.0,3,1
28,3,6,10.0,2,8,3,2,1,0,0,3.295836866004329,11.938702874390271,0.0,2,1
29,3,7,7.0,1,0,0,1,1,0,0,3.7376696182833684,11.157035926805332,0.0,3,1
30,3,0,10.0,2,1,1,1,1,0,0,3.828641396489095,12.776554893342128,0.0,2,1
31,3,3,9.0,2,10,2,1,1,0,0,2.8903717578961645,11.424367437988437,0.0,1,1
32,3,2,13.0,1,3,0,1,1,0,1,3.8066624897703196,12.398307403775139,0.0,2,1
33,3,5,10.0,2,10,1,0,1,0,0,3.713572066704308,11.853603132073953,0.0,2,1
34,1,6,10.0,1,0,0,1,1,0,1,3.8501476017100584,11.540258491037868,0.0,2,1
35,2,3,9.0,2,0,4,2,1,0,0,3.5553480614894135,11.58275931606801,0.0,3,1
36,2,3,10.0,0,1,4,1,0,0,0,3.784189633918261,11.919529923771819,0.0,2,1
37,2,0,10.0,2,0,1,1,1,3674,0,3.367295829986474,12.947347866341977,0.0,2,1
38,5,3,10.0,1,0,0,1,1,0,0,3.58351893845611,12.385953726784768,0.0,2,1
39,3,0,10.0,0,0,4,0,0,0,0,3.6635616461296463,11.919223559382285,0.0,2,1
40,3,3,9.0,1,0,3,1,0,2105,0,3.1354942159291497,12.31459067100308,0.0,2,1
41,3,3,9.0,2,5,3,1,1,0,0,2.9444389791664403,12.481193657137057,0.0,1,1
42,3,4,10.0,2,3,1,1,0,0,0,3.367295829986474,11.965668483256827,0.0,3,1
43,3,2,13.0,2,1,1,2,0,0,0,3.1780538303479458,11.999005424738646,0.0,2,1
